FlMp1.0	48	ssiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii																																															
name	id	AL	AZ	AR	CA	CO	CT	DE	FL	GA	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
Minnesota	MN	1264	8069	1497	37325	9313	1787	345	9785	4487	1532	29397	6292	22369	3977	1857	1994	601	3237	3262	10261	1534137	1336	7134	3701	5900	2414	835	2802	2133	9663	3950	26450	5970	2356	3681	5166	459	1619	14087	3005	19425	2205	578	4765	8389	523	51512	1366
Mississippi	MS	18791	1764	7323	12209	2385	549	254	15234	9853	264	12977	2911	1168	1398	2450	33011	356	1923	651	4586	1137	844550	4226	559	867	1657	301	1501	1223	3309	4480	295	3987	2934	609	2668	278	2683	304	31370	18188	775	57	5417	2194	537	3033	333
Missouri	MO	4831	9919	22088	39492	12622	1776	589	17370	9411	2162	60174	10367	17860	58785	6197	5720	530	3826	2810	10090	6807	4782	1881922	1304	10592	3823	875	3877	3866	8556	7503	1289	9524	17403	3377	6594	507	3515	1701	10003	34286	3774	514	8353	7929	1201	8056	1331
Montana	MT	480	4025	408	14849	6512	431	99	2339	1158	6295	2191	617	1154	1080	390	540	355	693	551	1757	2690	366	1406	274953	944	2564	480	711	1355	1523	894	3515	1893	757	6217	1710	57	425	2293	923	4372	3287	276	1305	15448	177	1571	5175
Nebraska	NE	927	4207	1280	17442	13345	471	113	3638	1581	1022	6063	1683	20503	9021	589	1216	204	1066	546	1550	4606	843	6763	1497	539922	1738	159	736	1641	2226	1312	1913	2015	2842	1374	1889	116	862	6560	1342	10459	1996	259	3011	3343	212	2227	3591
Nevada	NV	1368	23432	1596	199125	11365	1577	329	14850	3297	6116	17570	3755	2616	2354	1371	2999	794	2228	2596	7867	4823	1961	4770	4299	2504	619598	652	6531	6499	17153	3134	1108	7263	3170	10024	6171	618	1270	1798	1944	17576	14060	296	3531	14278	625	4651	2785
"New Hampshire"	NH	333	1576	158	6424	1914	7569	330	8621	1485	282	1968	782	381	405	709	384	12173	2074	60731	1458	841	186	836	226	269	501	339085	4585	548	11542	2213	171	2257	318	716	4248	2577	841	139	779	3335	823	8060	2762	1485	218	775	116
"New Jersey"	NJ	3094	4281	797	26751	3560	10890	4821	34896	7842	453	11520	3115	869	1684	2005	2276	1806	11349	13662	5221	1920	704	2953	426	854	1699	3623	2312441	1425	206979	10339	277	8146	1455	916	88202	2023	4477	106	2894	11308	1204	1490	18660	3450	1217	2159	281
"New Mexico"	NM	1022	19700	1408	28678	15626	1151	257	5986	2264	1391	6019	2075	1514	3009	926	1704	575	2256	1821	2891	2085	748	2977	1425	1887	4796	430	2168	526221	5527	2424	657	3252	4654	2639	2967	294	1213	745	1531	41760	3611	396	3688	5037	309	2346	1673
"New York"	NY	4060	9501	1589	65160	9217	39266	2872	70218	18358	934	21043	6666	2432	2896	4194	5039	5699	22314	48104	14740	5279	1399	6435	1437	3441	3558	7027	97584	3362	5340392	20262	556	20965	3893	4600	67213	6669	9255	847	6368	27528	3009	9052	27825	9544	2472	5928	872
"North Carolina"	NC	12009	8506	4458	56269	9559	14669	3153	96255	47514	1565	21408	12262	4622	5169	12000	8578	3760	31021	13892	19810	5328	5795	7857	1351	2468	2953	4414	37299	3484	100727	2417295	984	34680	5919	3889	43273	2682	61237	1028	22869	42650	2638	2432	89149	7919	18084	6465	827
"North Dakota"	ND	179	1147	318	3170	2029	159	35	1058	286	515	1639	394	882	767	287	338	84	320	200	696	19177	212	502	4255	817	706	45	317	461	856	328	193178	606	806	844	651	0	223	4874	357	2347	647	20	756	2205	103	1375	1133
Ohio	OH	7752	10114	2895	37471	9300	5280	1499	47389	17732	1351	30359	36519	4148	4228	35231	4657	1414	11176	7807	43371	5897	3467	9529	1039	2616	3538	1868	11308	3265	31179	19001	1173	3795077	4708	3376	43250	1260	8543	746	13883	26992	2629	744	20717	7117	25801	7702	856
Oklahoma	OK	2590	8372	20212	37774	11501	1206	447	10267	5660	1526	8454	3908	3785	21482	2453	6248	433	2340	1382	3786	2438	3059	15314	1550	3396	3255	411	1914	7567	5127	5749	836	4947	1187740	3453	3485	171	2364	1268	5181	73359	2541	134	5165	5251	645	3202	1730
Oregon	OR	1122	15610	1345	131836	11444	1623	221	6182	3331	15479	7108	3358	2332	2733	1212	1371	1030	1993	3248	3995	4399	910	3581	7608	1965	10299	844	2383	5327	6565	2956	1360	4195	2718	1219696	3518	425	1037	1005	2066	12247	9279	683	3697	71562	411	3226	1863
Pennsylvania	PA	3692	7372	1583	34494	7276	14554	16659	44123	12118	1168	14617	8126	2331	3129	4032	3074	3354	53036	17088	10634	3771	2028	4590	1235	1677	2406	3729	110436	2112	112214	18001	988	33883	2927	2789	3387963	2504	7500	611	6810	19427	2767	1837	32231	6355	10415	3855	617
"Rhode Island"	RI	258	750	74	5669	927	9708	171	5539	1108	86	1265	479	291	231	236	355	1767	1818	27015	714	352	136	575	113	164	387	2115	4232	191	13771	1097	13	1335	167	453	4001	290449	514	50	398	1732	250	620	3190	943	106	467	20
"South Carolina"	SC	8042	3393	2260	17728	3567	7207	1598	38495	41149	788	10318	6766	1482	2514	6537	4144	1932	12738	5302	9008	1540	3297	3684	662	1181	1517	1738	16740	1782	40398	65189	601	17807	3278	1270	21249	1276	1149649	623	11759	16342	1407	918	23902	4149	5736	3224	449
"South Dakota"	SD	151	2019	369	4908	3781	168	66	1207	662	617	1780	602	7024	1392	329	322	79	452	228	771	11532	223	1114	2277	6126	744	79	214	717	946	444	4903	949	722	993	622	21	263	232370	553	2782	871	12	1089	1764	143	1389	2839
Tennessee	TN	27801	6159	13528	31639	6139	3024	1339	52918	42723	854	27693	17028	3705	4786	33592	10712	1318	7959	3546	22947	3510	26397	11932	1117	2334	2902	1388	6511	2422	17501	24417	437	23582	6874	2454	11094	675	12542	561	1804435	35410	1966	570	26300	6057	4808	8498	700
Texas	TX	19717	38485	37988	182789	46910	9107	2184	80538	41940	5523	64006	22779	15144	33340	14432	86283	2635	19080	13682	29186	16705	21115	36430	4591	12322	12351	3083	21219	49566	46336	33330	3597	32384	83477	12329	24996	2246	13322	3615	29290	7607342	13102	1584	39559	30669	4119	15342	5469
Utah	UT	1085	15848	866	60389	11776	1165	304	5495	3158	19721	4096	1956	1427	1755	1153	1494	556	2241	1486	2893	1935	664	2852	4073	1704	12739	456	1921	4194	4543	2517	725	3318	2100	7836	2789	298	978	1189	1668	12948	718565	284	4525	12822	444	2094	6117
Vermont	VT	237	830	94	3141	1186	5506	154	3727	752	348	879	481	85	257	150	196	2398	1224	10378	775	456	96	313	193	144	147	7408	3712	401	11026	1140	49	1019	116	609	2400	1084	426	71	383	1148	278	158102	1778	701	217	452	125
Virginia	VA	10059	9203	3065	62283	12022	14501	4253	57700	25665	1686	19166	8602	3312	6027	9002	8765	4837	79242	14701	12779	4936	5552	7988	1020	3313	3563	3574	36996	4439	74720	63014	1325	23519	6322	2949	47014	3588	20225	942	19366	39182	4123	2213	2138591	10895	20662	5047	898
Washington	WA	3094	20789	2541	155577	17700	3521	567	16271	9894	26214	13415	4914	4503	5475	2987	4586	1555	6086	7094	8503	9416	1662	6537	14909	3218	11031	1612	5229	6022	14086	7517	2448	8615	5642	82641	8076	1113	3226	2027	4852	31364	13397	695	12701	2031822	763	5505	3146
"West Virginia"	WV	835	911	380	3326	1194	1032	759	8632	3084	158	2111	1818	358	524	4725	694	215	17947	972	2728	358	540	748	235	309	569	251	3398	365	3747	7978	180	21431	664	319	13702	264	2898	143	2919	3458	353	333	17835	728	479065	682	188
Wisconsin	WI	1478	7381	1753	23316	6909	1865	302	13074	3953	1177	80569	9402	12229	2930	2591	1652	648	3104	2798	19785	51692	2265	5632	1228	2500	2445	684	2994	2003	6918	4311	2025	7628	2240	2153	5942	350	1826	2204	3633	13231	1961	393	4662	5865	416	1783204	880
Wyoming	WY	517	2446	352	6422	10444	200	88	1472	702	2519	1116	663	936	1014	391	541	185	595	435	968	1060	210	1003	4733	3211	2434	196	421	1588	939	748	1728	1100	1102	1669	909	47	312	2601	350	3621	4662	174	722	2795	243	816	147232
